Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
306,1313,B,21,H,6,1.5,1.5,195.9,
306,1313,B,21,H,7,0.37,0.37,197.4,
306,1313,B,21,H,CC(7),0.18,0.18,197.77,
306,1313,B,22,H,1,1.5,1.5,197.9,
306,1313,B,22,H,2,1.5,1.5,199.4,
306,1313,B,22,H,3,1.5,1.5,200.9,
306,1313,B,22,H,4,1.5,1.5,202.4,
306,1313,B,22,H,5,1.5,1.5,203.9,
306,1313,B,22,H,6,1.5,1.5,205.4,
306,1313,B,22,H,7,0.7,0.7,206.9,
306,1313,B,22,H,CC(7),0.31,0.31,207.6,
306,1313,B,23,H,1,1.5,1.5,207.4,
306,1313,B,23,H,2,1.5,1.5,208.9,
306,1313,B,23,H,3,1.5,1.5,210.4,
306,1313,B,23,H,4,1.5,1.5,211.9,
306,1313,B,23,H,5,1.5,1.5,213.4,
306,1313,B,23,H,6,1.5,1.5,214.9,
306,1313,B,23,H,7,0.72,0.72,216.4,
306,1313,B,23,H,CC(7),0.23,0.23,217.12,
306,1313,B,24,H,1,0.36,0.36,216.9,Crushed Liner.
306,1313,B,24,H,2,1.5,1.5,217.26,
306,1313,B,24,H,3,1.5,1.5,218.76,
306,1313,B,24,H,4,1.5,1.5,220.26,
306,1313,B,24,H,5,1.5,1.5,221.76,
306,1313,B,24,H,6,1.41,1.41,223.26,
306,1313,B,24,H,   CC,0.58,0.58,224.67,
306,1313,B,25,H,1,0.87,0.87,226.4,Crushed Liner.
306,1313,B,25,H,2,1.5,1.5,227.27,
306,1313,B,25,H,3,1.5,1.5,228.77,
306,1313,B,25,H,4,1.5,1.5,230.27,
306,1313,B,25,H,5,1.5,1.5,231.77,
306,1313,B,25,H,6,1.25,1.25,233.27,
306,1313,B,25,H,   CC,0.8,0.8,234.52,
306,1313,B,26,H,1,1.14,1.14,235.9,
306,1313,B,26,H,2,1.1,1.1,237.04,
306,1313,B,26,H,3,1.1,1.1,238.14,
306,1313,B,26,H,4,1.14,1.14,239.24,
306,1313,B,26,H,5,1.5,1.5,240.38,
306,1313,B,26,H,6,1.5,1.5,241.88,
306,1313,B,26,H,   CC,0.61,0.61,243.38,
306,1313,B,27,H,1,1.5,1.5,245.4,
306,1313,B,27,H,2,1.5,1.5,246.9,
306,1313,B,27,H,3,1.5,1.5,248.4,
306,1313,B,27,H,4,1.5,1.5,249.9,
306,1313,B,27,H,5,1.5,1.5,251.4,
306,1313,B,27,H,6,1.5,1.5,252.9,
306,1313,B,27,H,7,0.67,0.67,254.4,
306,1313,B,27,H,CC(7),0.14,0.14,255.07,
306,1313,B,28,H,1,1.5,1.5,254.9,
306,1313,B,28,H,2,1.5,1.5,256.4,
306,1313,B,28,H,3,1.5,1.5,257.9,
306,1313,B,28,H,4,1.5,1.5,259.4,
306,1313,B,28,H,5,1.5,1.5,260.9,
306,1313,B,28,H,6,1,1,262.4,
306,1313,B,28,H,7,0.92,0.92,263.4,
306,1313,B,28,H,CC(7),0.13,0.13,264.32,
306,1313,B,29,H,1,1.5,1.5,264.4,
306,1313,B,29,H,2,1.5,1.5,265.9,
306,1313,B,29,H,3,1.5,1.5,267.4,
306,1313,B,29,H,4,1.5,1.5,268.9,
306,1313,B,29,H,5,1.5,1.5,270.4,
306,1313,B,29,H,6,1.5,1.5,271.9,
306,1313,B,29,H,7,0.52,0.52,273.4,
306,1313,B,29,H,CC(7),0.07,0.07,273.92,
306,1313,B,30,H,1,1.5,1.5,273.9,
306,1313,B,30,H,2,1.5,1.5,275.4,
306,1313,B,30,H,3,1,1,276.9,
306,1313,B,30,H,4,0.85,0.85,277.9,
306,1313,B,30,H,5,0.97,0.97,278.75,
306,1313,B,30,H,6,1,1,279.72,
306,1313,B,30,H,7,1.5,1.5,280.72,
